,Survived,Class,Sex,Age,Sibling/Spouse,Parent/Child,Ticket,Price
0,No,3,male,34,0,0,330911,7.8292
1,Yes,3,female,47,1,0,363272,7.0
2,No,2,male,62,0,0,240276,9.6875
3,No,3,male,27,0,0,315154,8.6625
4,Yes,3,female,22,1,1,3101298,12.2875
5,No,3,male,14,0,0,7538,9.225
6,Yes,3,female,30,0,0,330972,7.6292
7,No,2,male,26,1,1,248738,29.0
8,Yes,3,female,18,0,0,2657,7.2292
9,No,3,male,21,2,0,48871,24.15
10,No,3,male,30,0,0,349220,7.8958
11,No,1,male,46,0,0,694,26.0
12,Yes,1,female,23,1,0,21228,82.2667
13,No,2,male,63,1,0,24065,26.0
14,Yes,1,female,47,1,0,5734,61.175
15,Yes,2,female,24,1,0,2167,27.7208
16,No,2,male,35,0,0,233734,12.35
17,No,3,male,21,0,0,2692,7.225
18,Yes,3,female,27,1,0,3101270,7.925
19,Yes,3,female,45,0,0,2696,7.225
20,No,1,male,55,1,0,17603,59.4
21,No,3,male,9,0,1,17368,3.1708
22,Yes,1,female,30,0,0,17598,31.6833
23,No,1,male,21,0,1,17597,61.3792
24,Yes,1,female,48,1,3,17608,262.375
25,No,3,male,50,1,0,3337,14.5
26,Yes,1,female,22,0,1,113509,61.9792
27,No,3,male,22,0,0,2698,7.225
28,No,1,male,41,0,0,113054,30.5
29,No,3,male,30,2,0,2662,21.6792
30,No,2,male,50,1,0,3085,26.0
31,No,2,male,24,2,0,31029,31.5
32,Yes,3,female,33,1,2,2315,20.575
33,Yes,3,female,30,1,2,6607,23.45
34,No,1,male,30,1,0,13236,57.75
35,No,3,male,18,0,0,2682,7.2292
36,Yes,3,female,30,0,0,342712,8.05
37,Yes,3,female,21,0,0,315087,8.6625
38,No,3,male,25,0,0,345768,9.5
39,No,3,male,30,0,0,1601,56.4958
40,No,3,male,39,0,1,349256,13.4167
41,No,1,male,30,0,0,113778,26.55
42,No,3,male,41,0,0,3101263,7.85
43,Yes,2,female,30,0,0,237249,13.0
44,Yes,1,female,45,1,0,11753,52.5542
45,No,3,male,25,0,0,3101291,7.925
46,No,1,male,45,0,0,17594,29.7
47,No,3,male,30,0,0,370374,7.75
48,Yes,1,female,60,0,0,11813,76.2917
49,Yes,3,female,36,0,2,37671,15.9
50,No,1,male,24,1,0,13695,60.0
51,No,2,male,27,0,0,2168,15.0333
52,Yes,2,female,20,2,1,29105,23.0
53,Yes,1,female,28,3,2,19950,263.0
54,No,2,male,30,0,0,2861,15.5792
55,No,3,male,10,4,1,382652,29.125
56,No,3,male,35,0,0,349230,7.8958
57,No,3,male,25,0,0,348122,7.65
58,No,3,male,30,1,0,386525,16.1
59,Yes,1,female,36,0,0,17608,262.375
60,No,3,male,17,0,0,349232,7.8958
61,No,2,male,32,0,0,237216,13.5
62,No,3,male,18,0,0,347090,7.75
63,Yes,3,female,22,0,0,334914,7.725
64,No,1,male,13,2,2,17608,262.375
65,Yes,2,female,30,0,0,13534,21.0
66,Yes,3,female,18,0,0,330963,7.8792
67,No,1,male,47,0,0,113796,42.4
68,No,1,male,31,0,0,2543,28.5375
69,Yes,1,female,60,1,4,19950,263.0
70,Yes,3,female,24,0,0,382653,7.75
71,No,3,male,21,0,0,349211,7.8958
72,Yes,3,female,29,0,0,3101297,7.925
73,No,1,male,28,0,0,17562,27.7208
74,Yes,1,female,35,0,0,113503,211.5
75,No,1,male,32,0,0,113503,211.5
76,No,3,male,30,0,0,359306,8.05
77,Yes,1,female,55,2,0,11770,25.7
78,No,2,male,30,0,0,248744,13.0
79,Yes,3,female,24,0,0,368702,7.75
80,No,3,male,6,1,1,2678,15.2458
81,No,1,male,67,1,0,17483,221.7792
82,No,1,male,49,0,0,19924,26.0
83,No,3,male,30,0,0,349238,7.8958
84,No,2,male,30,0,0,240261,10.7083
85,No,3,male,30,1,0,2660,14.4542
86,Yes,3,female,27,0,0,330844,7.8792
87,Yes,3,female,18,0,0,31416,8.05
88,Yes,3,female,30,0,0,364856,7.75
89,No,2,male,2,1,1,29103,23.0
90,Yes,3,female,22,1,0,347072,13.9
91,No,3,male,30,0,0,345498,7.775
92,Yes,1,female,27,1,2,12750,52.0
93,No,3,male,30,0,0,376563,8.05
94,No,1,male,25,0,0,13905,26.0
95,No,3,male,25,0,0,350033,7.7958
96,Yes,1,female,76,1,0,19877,78.85
97,No,3,male,29,0,0,3101268,7.925
98,Yes,3,female,20,0,0,347471,7.8542
99,No,3,male,33,0,0,3338,8.05
100,Yes,1,female,43,1,0,11778,55.4417
101,No,2,male,27,1,0,228414,26.0
102,No,3,male,30,0,0,365235,7.75
103,No,3,male,26,0,0,347070,7.775
104,Yes,3,female,16,1,1,2625,8.5167
105,No,3,male,28,0,0,4001,22.525
106,No,3,male,21,0,0,330920,7.8208
107,No,3,male,30,0,0,383162,7.75
108,No,3,male,30,0,0,3410,8.7125
109,No,2,male,18,0,0,248734,13.0
110,No,2,male,41,0,0,237734,15.0458
111,Yes,3,female,30,0,0,330968,7.7792
112,Yes,1,female,36,0,0,17531,31.6792
113,Yes,3,female,18,0,0,329944,7.2833
114,Yes,1,female,63,1,0,17483,221.7792
115,No,3,male,18,1,0,2680,14.4542
116,No,3,male,30,0,0,2681,6.4375
117,Yes,3,female,1,1,1,9549,16.7
118,No,1,male,36,0,0,13050,75.2417
119,Yes,2,female,29,1,0,29037,26.0
120,Yes,2,female,12,0,0,33595,15.75
121,No,3,male,30,1,0,367227,7.75
122,Yes,1,female,35,1,0,13236,57.75
123,No,3,male,28,0,0,392095,7.25
124,No,3,male,30,0,0,368783,7.75
125,Yes,3,female,17,0,1,371362,16.1
126,No,3,male,22,0,0,350045,7.7958
127,Yes,3,female,30,2,0,367226,23.25
128,No,2,male,42,0,0,211535,13.0
129,No,3,male,24,0,0,342441,8.05
130,No,3,male,32,0,0,369943,8.05
131,No,1,male,53,0,0,113780,28.5
132,Yes,3,female,30,0,4,4133,25.4667
133,No,3,male,30,1,0,2621,6.4375
134,No,3,male,43,0,0,349226,7.8958
135,No,3,male,24,0,0,350409,7.8542
136,No,3,male,26,0,0,2656,7.225
137,No,2,male,26,0,0,248659,13.0
138,Yes,3,female,23,0,0,392083,8.05
139,No,3,male,40,1,6,2144,46.9
140,Yes,3,female,10,5,2,2144,46.9
141,Yes,1,female,33,0,0,113781,151.55
142,No,1,male,61,1,3,17608,262.375
143,No,2,male,28,0,0,244358,26.0
144,No,1,male,42,0,0,17475,26.55
145,No,3,male,31,3,0,345763,18.0
146,No,1,male,30,0,0,17463,51.8625
147,No,3,male,22,0,0,23568,8.05
148,No,1,male,30,0,0,113791,26.55
149,No,2,male,30,1,1,250651,26.0
150,Yes,1,female,23,0,1,11767,83.1583
151,No,3,male,30,0,0,349255,7.8958
152,No,3,male,60,0,0,3701,12.1833
153,Yes,3,female,36,0,2,350405,12.1833
154,No,3,male,13,4,2,347077,31.3875
155,No,3,male,24,0,0,752,7.55
156,Yes,1,female,29,0,0,17483,221.7792
157,Yes,3,female,23,0,0,347469,7.8542
158,No,1,male,42,0,0,110489,26.55
159,Yes,3,female,26,0,2,3101315,13.775
160,Yes,3,female,30,0,0,335432,7.7333
161,No,3,male,7,1,1,2650,15.2458
162,Yes,2,female,26,0,0,220844,13.5
163,No,3,male,30,0,0,343271,7.0
164,No,2,male,41,0,0,237393,13.0
165,Yes,3,female,26,1,1,315153,22.025
166,No,1,male,48,0,0,17591,50.4958
167,No,3,male,18,2,2,6608,34.375
168,Yes,1,female,30,0,0,17770,27.7208
169,Yes,3,female,22,0,0,7548,8.9625
170,No,3,male,30,0,0,251,7.55
171,No,3,male,27,0,0,2670,7.225
172,No,3,male,23,1,0,347072,13.9
173,No,3,male,30,0,0,2673,7.2292
174,No,3,male,40,1,5,347077,31.3875
175,Yes,2,female,15,0,2,29750,39.0
176,Yes,2,female,20,0,0,33112,36.75
177,No,1,male,54,1,0,11778,55.4417
178,Yes,2,female,36,0,3,230136,39.0
179,Yes,1,female,64,0,2,17756,83.1583
180,No,2,male,30,0,0,233478,13.0
181,No,1,male,37,1,1,17756,83.1583
182,Yes,1,female,18,1,0,113773,53.1
183,No,3,male,30,0,0,7935,7.75
184,Yes,1,female,27,1,1,17558,247.5208
185,No,2,male,40,0,0,239059,16.0
186,Yes,2,female,21,0,1,2,21.0
187,No,3,male,17,2,0,48873,8.05
188,Yes,3,female,30,8,2,2343,69.55
189,No,2,male,40,0,0,28221,13.0
190,No,2,male,34,1,0,226875,26.0
191,No,1,male,30,0,0,111163,26.0
192,No,3,male,11,1,1,851,14.5
193,No,2,male,61,0,0,235509,12.35
194,No,2,male,8,0,2,28220,32.5
195,No,3,male,33,0,0,347465,7.8542
196,No,1,male,6,0,2,16966,134.5
197,Yes,3,female,18,0,0,347066,7.775
198,No,2,male,23,0,0,31030,10.5
199,Yes,3,female,30,0,0,65305,8.1125
200,Yes,3,female,30,0,0,36568,15.5
201,No,3,male,0,0,2,347080,14.4
202,No,1,male,47,1,0,17757,227.525
203,Yes,2,female,8,1,1,26360,26.0
204,No,2,male,25,0,0,34050,10.5
205,No,1,male,30,0,0,12998,25.7417
206,Yes,3,female,35,0,0,9232,7.75
207,No,2,male,24,0,0,28034,10.5
208,Yes,1,female,33,0,0,17613,27.7208
209,No,3,male,25,0,0,349250,7.8958
210,No,3,male,32,0,0,4001,22.525
211,No,3,male,30,0,0,3101308,7.05
212,No,2,male,17,0,0,14879,73.5
213,Yes,2,female,60,1,0,24065,26.0
214,Yes,3,female,38,4,2,347091,7.775
215,No,1,male,42,0,0,113038,42.5
216,Yes,3,female,30,0,0,330924,7.8792
217,No,1,male,57,1,1,36928,164.8667
218,Yes,1,female,50,1,1,113503,211.5
219,No,3,male,30,0,0,32302,8.05
220,Yes,2,female,30,1,0,2148,13.8583
221,No,3,male,21,0,0,342684,8.05
222,Yes,2,female,22,0,0,14266,10.5
223,No,3,male,21,0,0,350053,7.7958
224,Yes,1,female,53,0,0,17606,27.4458
225,Yes,3,female,30,0,2,2661,15.2458
226,No,3,male,23,0,0,350054,7.7958
227,Yes,3,female,30,0,0,370368,7.75
228,No,3,male,40,0,0,6212,15.1
229,No,2,male,36,0,0,242963,13.0
230,No,2,male,14,0,0,220845,65.0
231,Yes,1,female,21,0,0,113795,26.55
232,No,3,male,21,1,0,3101266,6.4958
233,No,3,male,30,0,0,330971,7.8792
234,No,1,male,39,1,0,17599,71.2833
235,No,3,male,20,0,0,350416,7.8542
236,No,1,male,64,1,0,110813,75.25
237,No,3,male,20,0,0,2679,7.225
238,Yes,2,female,18,1,1,250650,13.0
239,Yes,1,female,48,1,0,17761,106.425
240,Yes,1,female,55,0,0,112377,27.7208
241,Yes,2,female,45,0,2,237789,30.0
242,No,1,male,45,1,1,16966,134.5
243,No,3,male,30,0,0,3470,7.8875
244,No,3,male,30,1,2,6607,23.45
245,No,1,male,41,1,0,17464,51.8625
246,Yes,2,female,22,0,0,13534,21.0
247,No,2,male,42,1,1,28220,32.5
248,Yes,2,female,29,1,0,26707,26.0
249,Yes,3,female,30,1,0,2660,14.4542
250,Yes,2,female,0,1,2,34651,27.75
251,No,3,male,20,0,0,3101284,7.925
252,No,1,male,27,1,0,13508,136.7792
253,No,3,male,24,0,0,7266,9.325
254,No,3,male,32,0,0,345775,9.5
255,No,3,male,30,0,0,42795,7.55
256,No,3,male,30,0,0,3130,7.75
257,No,3,male,28,0,0,363611,8.05
258,Yes,2,female,19,0,0,28404,13.0
259,No,3,male,21,0,0,345501,7.775
260,No,3,male,36,1,0,345572,17.4
261,No,3,male,21,0,0,350410,7.8542
262,Yes,2,female,29,0,2,29103,23.0
263,Yes,3,female,1,1,1,350405,12.1833
264,No,2,male,30,0,0,34644,12.7375
265,No,3,male,30,0,0,349235,7.8958
266,No,1,male,30,0,0,112051,0.0
267,No,3,male,30,0,0,49867,7.55
268,Yes,3,female,30,0,0,39186,8.05
269,No,3,male,17,0,0,315095,8.6625
270,No,1,male,46,0,0,13050,75.2417
271,No,3,male,30,0,0,368573,7.75
272,Yes,1,female,26,1,0,13508,136.7792
273,Yes,3,female,30,1,0,370371,15.5
274,No,3,male,30,0,0,2676,7.225
275,Yes,2,female,20,1,0,236853,26.0
276,No,2,male,28,0,0,14888,10.5
277,No,2,male,40,1,0,2926,26.0
278,No,2,male,30,1,0,31352,21.0
279,No,2,male,22,0,0,14260,10.5
280,Yes,3,female,23,0,0,315085,8.6625
281,No,3,male,0,1,1,3101315,13.775
282,Yes,3,female,30,0,0,364859,7.75
283,Yes,3,female,9,1,1,2650,15.2458
284,Yes,3,female,2,1,1,370129,20.2125
285,No,3,male,36,0,0,21175,7.25
286,No,3,male,30,0,0,3101314,7.25
287,No,1,male,24,1,0,21228,82.2667
288,No,3,male,30,0,0,2655,7.2292
289,No,3,male,30,0,0,1478,8.05
290,No,1,male,30,0,0,17607,39.6
291,Yes,3,female,30,0,0,382650,6.95
292,No,3,male,30,0,0,2652,7.2292
293,No,1,male,53,1,1,33638,81.8583
294,No,3,male,36,0,0,345771,9.5
295,No,3,male,26,0,0,349202,7.8958
296,Yes,2,female,1,1,2,2123,41.5792
297,No,3,male,30,2,0,2662,21.6792
298,No,1,male,30,0,0,113801,45.5
299,No,3,male,29,0,0,347467,7.8542
300,No,3,male,32,0,0,347079,7.775
301,No,2,male,30,0,0,237735,15.0458
302,No,2,male,43,0,1,2,21.0
303,No,3,male,24,0,0,315092,8.6625
304,Yes,3,female,30,0,0,383123,7.75
305,Yes,1,female,64,1,1,112901,26.55
306,No,1,male,30,1,2,113781,151.55
307,No,3,male,0,0,1,392091,9.35
308,No,1,male,55,1,1,12749,93.5
309,Yes,3,female,45,1,0,350026,14.1083
310,No,3,male,18,0,0,315091,8.6625
311,No,3,male,22,0,0,2658,7.225
312,No,3,male,30,0,0,1588,7.575
313,Yes,3,female,37,0,0,368364,7.75
314,Yes,1,female,55,0,0,17760,135.6333
315,Yes,3,female,17,0,0,30631,7.7333
316,No,1,male,57,1,0,17569,146.5208
317,No,2,male,19,0,0,28004,10.5
318,No,3,male,27,0,0,350408,7.8542
319,No,2,male,22,2,0,31029,31.5
320,No,3,male,26,0,0,347075,7.775
321,No,3,male,25,0,0,2654,7.2292
322,No,2,male,26,0,0,244368,13.0
323,No,1,male,33,0,0,113790,26.55
324,Yes,1,female,39,0,0,24160,211.3375
325,No,3,male,23,0,0,3101309,7.05
326,Yes,2,female,12,2,1,230136,39.0
327,No,1,male,46,0,0,17585,79.2
328,No,2,male,29,1,0,2003,26.0
329,No,2,male,21,0,0,236854,13.0
330,Yes,2,female,48,0,2,33112,36.75
331,No,1,male,39,0,0,17580,29.7
332,No,3,male,30,0,0,2684,7.225
333,Yes,3,female,19,1,1,2653,15.7417
334,No,3,male,27,0,0,349229,7.8958
335,No,1,male,30,0,0,110469,26.0
336,No,2,male,32,0,0,244360,13.0
337,No,3,male,39,0,2,2675,7.2292
338,No,2,male,25,0,0,31029,31.5
339,No,3,male,30,0,0,2622,7.2292
340,No,2,male,18,0,0,15185,10.5
341,No,3,male,32,0,0,350403,7.5792
342,No,3,male,30,1,9,2343,69.55
343,Yes,1,female,58,0,1,17755,512.3292
344,No,3,male,30,1,1,851,14.5
345,Yes,3,female,16,0,0,348125,7.65
346,No,2,male,26,0,0,237670,13.0
347,Yes,3,female,38,0,0,2688,7.2292
348,No,2,male,24,0,0,248726,13.5
349,Yes,2,female,31,0,0,13528,21.0
350,Yes,1,female,45,0,1,17759,63.3583
351,No,2,male,25,0,0,13540,10.5
352,No,2,male,18,0,0,14879,73.5
353,No,2,male,49,1,2,220845,65.0
354,Yes,3,female,0,1,2,2315,20.575
355,No,1,male,50,0,0,113044,26.0
356,Yes,1,female,59,2,0,11769,51.4792
357,No,3,male,30,0,0,1222,7.8792
358,No,3,male,30,0,0,368402,7.75
359,Yes,3,female,30,1,0,349910,15.55
360,No,3,male,14,8,2,2343,69.55
361,Yes,2,female,24,1,1,2079,37.0042
362,Yes,2,female,31,0,0,31352,21.0
363,No,3,male,27,0,0,315083,8.6625
364,Yes,1,female,25,1,0,11765,55.4417
365,Yes,3,female,30,1,9,2343,69.55
366,No,3,male,30,1,0,2689,14.4583
367,Yes,3,female,22,0,0,3101295,39.6875
368,Yes,1,female,45,0,1,112378,59.4
369,No,2,male,29,0,0,2147,13.8583
370,No,2,male,21,1,0,28133,11.5
371,Yes,1,female,31,0,0,16966,134.5
372,No,1,male,49,0,0,112058,0.0
373,No,2,male,44,0,0,248746,13.0
374,Yes,1,female,54,1,1,33638,81.8583
375,Yes,1,female,45,0,0,17608,262.375
376,Yes,3,female,22,2,0,315152,8.6625
377,No,2,male,21,0,0,29107,11.5
378,No,1,male,55,0,0,680,50.0
379,No,3,male,5,4,2,347077,31.3875
380,No,3,male,30,0,0,366713,7.75
381,No,3,male,26,0,0,330910,7.8792
382,Yes,3,female,30,0,0,364498,14.5
383,Yes,3,female,19,1,0,376566,16.1
384,No,2,male,30,0,0,2159,12.875
385,Yes,2,female,24,1,2,220845,65.0
386,No,3,male,24,0,0,349911,7.775
387,No,2,male,57,0,0,244346,13.0
388,No,3,male,21,0,0,364858,7.75
389,No,3,male,6,3,1,349909,21.075
390,No,1,male,23,0,0,12749,93.5
391,Yes,1,female,51,0,1,17592,39.4
392,No,3,male,13,0,2,2673,20.25
393,No,2,male,47,0,0,30769,10.5
394,No,3,male,29,3,1,315153,22.025
395,Yes,1,female,18,1,0,13695,60.0
396,No,3,male,24,0,0,371109,7.25
397,Yes,1,female,48,1,1,13567,79.2
398,No,3,male,22,0,0,347065,7.775
399,No,3,male,31,0,0,21332,7.7333
400,Yes,1,female,30,0,0,36928,164.8667
401,No,2,male,38,1,0,28664,21.0
402,Yes,1,female,22,0,1,112378,59.4
403,No,1,male,17,0,0,113059,47.1
404,No,1,male,43,1,0,17765,27.7208
405,No,2,male,20,0,0,2166,13.8625
406,No,2,male,23,1,0,28666,10.5
407,No,1,male,50,1,1,113503,211.5
408,Yes,3,female,30,0,0,334915,7.7208
409,Yes,3,female,3,1,1,3101315,13.775
410,Yes,3,female,30,0,0,365237,7.75
411,Yes,1,female,37,1,0,19928,90.0
412,Yes,3,female,28,0,0,347086,7.775
413,No,3,male,30,0,0,3236,8.05
414,Yes,1,female,39,0,0,17758,108.9
415,No,3,male,38,0,0,3101262,7.25
416,No,3,male,30,0,0,359309,8.05
417,No,3,male,30,1,1,2668,22.3583
